Track,Artist,Album,Year,Duration,Danceability,Loudness,Acousticness,Instrumentalness,Tempo,Popularity
Mishaela,Noa,Noa,2004,188933,0.42,-15.891,847,241,100.234,21
Allah Hoo Allah Hoo,Nusrat Fateh Ali Khan,30 Greatest Hits Nusrat Fateh Ali Khan and Sabri Brothers,1987,953480,496,-12.877,0.58,113,109.068,17
Dillagi,Nusrat Fateh Ali Khan,Dillagi,1989,365171,638,-6.717,206,213,79.991,38
Kinna Sohna Tenu,Nusrat Fateh Ali Khan,"Nusrat Fateh Ali Khan, Vol. 32",1989,627362,478,-8.324,276,19,109.318,33
Mast Nazron Se Allah Bachae,Nusrat Fateh Ali Khan,"The Best of Shahenshah-E-Qawwali, Vol. 1",1989,380796,379,-6.665,152,0,105.124,47
Mera Piya Ghar Aaya,Nusrat Fateh Ali Khan,30 Greatest Hits Nusrat Fateh Ali Khan and Sabri Brothers,1987,685987,504,-10.755,454,146,122.005,19
Tere Bin Nahin Lagda - Remix,Nusrat Fateh Ali Khan,Tere Bin Nahin Lagda Dil Mera - Best Hits,1999,343186,506,-6.903,602,114,126.629,31
Yeh Jo Halka Halka Suroor Hai,Nusrat Fateh Ali Khan,30 Greatest Hits Nusrat Fateh Ali Khan and Sabri Brothers,1993,1394311,0.52,-13.536,397,0,136.768,28
Fatamorgana - Mirage,Ofra Haza,Desert Wind,1984,301733,665,-15.428,655,182,114.011,2
Galbi,Ofra Haza,Yemenite Songs,1997,254573,472,-9.373,404,258,81.799,17
Im Nin Alu-2000,Ofra Haza,Ofra Haza,2000,217493,475,-7.82,993,196,183.991,35
Im Nin'alu,Ofra Haza,Yemenite Songs,1984,318240,676,-10.471,427,202,163.353,32
Love Song - Givin' U Some Pleasure Remix,Ofra Haza,Love Song,1992,535916,743,-9.312,276,915,127.995,1
Taw Shi,Ofra Haza,Desert Wind,1997,211266,593,-10.056,456,276,104.033,1
Ya Ba Ye,Ofra Haza,Desert Wind,1989,307066,597,-11.787,266,263,106.115,3
¿Dónde Estabas Tú?,Omara Portuondo,Omara Portuondo (Buena Vista Social Club Presents),2009,227413,0.73,-11.644,736,552,116.819,48
Cómo Fue,Omara Portuondo,Siempre Tu Voz: Homenaje a Benny Moré en Su Centenario,2008,207693,623,-8.889,649,275,81.975,21
Dos Gardenias,Omara Portuondo,Añejo Carta de Oro: 100 Joyas de la Música Tradicional Cubana,2000,202093,657,-13.019,0.74,841,96.671,1
He Perdido Contigo,Omara Portuondo,Omara Portuondo (Buena Vista Social Club Presents),2000,229426,689,-13.698,926,182,126.67,42
No me Vayas a Engañar - 2019 Remaster,Omara Portuondo,Omara Portuondo (Buena Vista Social Club Presents) (2019 Remaster),2019,172800,534,-11.299,912,146,99.33,26
Veinte Años,Omara Portuondo,Omara Portuondo (Buena Vista Social Club Presents),1999,283600,489,-18.506,933,308,87.878,38
Last Train Home,Pat Metheny Group,Still Life (Talking),1987,338186,377,-14.652,677,0.92,80.411,52
Letter From Home,Pat Metheny Group,Letter from Home,1989,153693,314,-21.063,965,878,44.757,41
Minuano (Six Eight),Pat Metheny Group,Still Life (Talking),1987,566426,0.34,-13.505,825,471,155.899,39
Phase Dance,Pat Metheny Group,Pat Metheny Group,1982,499133,414,-18.852,835,964,89.957,33
The Way Up: Opening & Part One,Pat Metheny Group,The Way Up,2005,1904453,407,-13.163,653,512,124.867,27
To the End of the World,Pat Metheny Group,We Live Here,1986,734133,532,-10.272,343,828,96.097,33
Bhebak W Shta'tellak Nar,Ragheb Alama,Habib Dehkati,2004,195364,444,-5.691,517,201,183.706,51
El Hob El Kebir,Ragheb Alama,El Hob El Kebir,2004,315640,621,-3.887,248,169,144.971,47
Dhun,Ravi Shankar,The Ravi Shankar Collection: Portrait Of Genius,1969,168240,446,-17.428,218,272,149.163,27
Raga Charu Keshi,Ravi Shankar,The Best Of Sitar,1967,815464,508,-13.472,134,765,135.963,16
Raga Hamsadhwani - Digitally Remastered,Ravi Shankar,The Ravi Shankar Collection: In London,1967,557278,503,-15.589,748,46,113.802,10
Raga Mishra Piloo - Remastered,Ravi Shankar,The Ravi Shankar Collection: A Morning Raga / An Evening Raga (Remastered),1967,1472120,424,-13.374,523,172,133.038,11
Raga Puriya Dhanashri - Remastered,Ravi Shankar,The Ravi Shankar Collection: India's Master Musician,1967,682613,0.42,-22.23,223,0.37,155.995,10
Raga- Manj Khamaj,Ravi Shankar,In Concert 1972,1967,3060650,488,-11.502,0.54,479,113.112,10
Raga- Sindhi Bhairavi,Ravi Shankar,In Concert 1972,1967,1578048,373,-11.478,511,674,149.141,4
Dounia,Rokia Traoré,Tchamantché,2004,380613,568,-12.363,909,286,89.019,14
Kele mandi,Rokia Traoré,Bowmboi,2004,249240,413,-16.26,0.95,296,169.759,3
Laidu,Rokia Traoré,Mouneïssa,2005,386973,702,-15.172,626,406,99.747,48
Crazy 'Bout an Automobile (Every Woman I Know),Ry Cooder,Borderline,1979,307000,691,-19.491,768,0,144.489,18
Dark End of the Street,Ry Cooder,Boomer's Story,1976,207040,499,-16.868,671,557,119.739,28
He'll Have to Go,Ry Cooder,Chicken Skin Music,1977,309240,413,-14.624,0.3,0,181.975,33
"Paris, Texas",Ry Cooder,Music by Ry Cooder,1985,174760,359,-20.957,945,158,128.713,46
Smack Dab in the Middle,Ry Cooder,Chicken Skin Music,1988,199893,0.79,-14.575,517,225,124.815,24
Vigilante Man,Ry Cooder,Into The Purple Valley,1976,255560,578,-21.523,742,105,75.845,24
Africa,Salif Keita,"""Folon"".....The Past",1987,359706,745,-8.882,275,476,110.944,24
Laban,Salif Keita,M'Bemba,1987,448960,524,-7.799,227,133,104.98,30
Namory,Salif Keita,Seydou Bathily,1990,582333,472,-17.332,734,527,141.239,22
Sina (Soumbouya),Salif Keita,Soro,1987,289293,665,-14.979,472,379,110.69,11
Tekere,Salif Keita,"""Folon"".....The Past",2006,393626,784,-8.855,286,438,112.977,17
Ani Maamin Through the Ages,Simcha Leiner,Kol Hakavod (Acapella),2005,304295,324,-6.697,531,0,139.315,30
Kol Haolam Kulo,Simcha Leiner,Shirei Nechama Acapella Collection,2005,208593,439,-5.987,319,307,127.917,25
Mi Shebeirach L'tzahal,Simcha Leiner,Shirei Nechama Acapella Collection,2005,175037,235,-5.779,242,256,133.976,28
Air - 2010 Remaster,The Incredible String Band,Wee Tam,1968,194733,211,-19.011,979,335,113.574,26
Chinese White - 2010 Remaster,The Incredible String Band,The 5000 Spirits Or The Layers Of The Onion,1968,217733,376,-11.523,0.79,0,95.427,17
Letter,The Incredible String Band,I Looked Up,1969,189266,556,-8.692,514,823,141.418,5
The First Girl I Loved - 2010 Remaster,The Incredible String Band,The 5000 Spirits Or The Layers Of The Onion,2010,291240,566,-11.868,0.55,0,117.623,23
The Minotaur's Song - 2010 Remaster,The Incredible String Band,The Hangman's Beautiful Daughter,2010,196986,558,-8.652,816,0,121.628,16
The Tijuana Jail - 1990 Digital Remaster,The Kingston Trio,The Capitol Collector's Series,1990,170906,451,-13.567,795,0,155.891,28
Tom Dooley,The Kingston Trio,The Kingston Trio,1958,183973,649,-13.986,806,455,125.74,41
Courage,Vieux Farka Touré,Vieux Farka Touré,2013,261173,687,-6.621,409,169,89.007,6
Diabaté,Vieux Farka Touré,Vieux Farka Touré,2010,557906,708,-11.231,945,876,117.848,8
Fafa,Vieux Farka Touré,Fondo,2012,303466,435,-5.614,724,277,92.749,29
Mahine Me,Vieux Farka Touré,Ali,2006,160487,477,-6.731,511,708,142.078,45
Mali,Vieux Farka Touré,Fondo,2009,275173,478,-7.004,783,856,170.002,11
Savanne,Vieux Farka Touré,Ali,2009,316093,562,-11.106,219,816,147.405,52
Tongo Barra,Vieux Farka Touré,Ali,2008,333150,653,-7.122,231,109,112.848,52
7 Seconds (feat. Neneh Cherry),Youssou N'Dour,The Guide (Wommat),1994,306226,679,-10.826,771,412,154.171,47
Africa Remembers,Youssou N'Dour,Eyes Open,2007,560466,696,-16.181,444,194,97.677,8
Birima,Youssou N'Dour,Joko: The Link,1995,228373,692,-7.042,254,174,105.754,18
Mame Bamba,Youssou N'Dour,The Guide (Wommat),1990,296893,662,-14.089,377,241,140.991,16
Salimata,Youssou N'Dour,History,1988,254133,634,-6.085,328,12,119.598,20
Set,Youssou N'Dour,Set,2004,226826,733,-11.056,424,101,146.213,25
Wiri-Wiri,Youssou N'Dour,Joko: The Link,2007,247466,654,-11.056,304,235,83.013,5
