Track,Artist,Album,Year,Duration,Danceability,Loudness,Acousticness,Instrumentalness,Tempo,Popularity
Izlel E Delio Haidutin,Bulgarian State Television Female Choir,Le Mystere Des Voix Bulgares Vol.3,1986,226373,206,-11.055,948,781,83.561,4
Kalimankou Denkou (The Evening Gathering),Bulgarian State Television Female Choir,Le Mystere Des Voix Bulgares,1986,306133,194,-15.752,977,36,128.433,22
Kaval Sviri (The Flute Plays),Bulgarian State Television Female Choir,"Le Mystère des Voix Bulgares, Vol. 2",1986,131706,179,-15.415,847,824,92.063,23
Prïtoutïtze Planinata (Song from the Thracian Plain),Bulgarian State Television Female Choir,Le Mystere Des Voix Bulgares,1986,165826,184,-9.291,922,228,88.717,14
Svatba (The Wedding),Bulgarian State Television Female Choir,Le Mystere Des Voix Bulgares,1988,87226,356,-12.668,958,117,105.443,19
Basic Instructions,Burlap To Cashmere,Anybody Out There?,1998,239306,608,-8.578,112,225,135.779,31
Treasures In Heaven,Burlap To Cashmere,Anybody Out There?,1998,267866,664,-8.908,499,448,94.999,27
Abatina,Calypso Rose,Far from Home,2003,224630,753,-4.443,232,383,103.968,59
Baila Mami (feat. Nailah Blackman & Lao Ra),Calypso Rose,Calypso Rose and Friends,2019,177066,667,-3.788,138,0,99.994,14
Calypso Blues,Calypso Rose,So Calypso !,2003,260120,946,-7.989,604,479,129.947,57
Calypso Queen,Calypso Rose,Far from Home,2007,197813,658,-7.427,418,138,84.739,61
Fire in Me Wire,Calypso Rose,Soul on Fire,2004,295400,849,-10.881,356,192,126.776,17
Leave Me Alone - Kubiyashi Remix,Calypso Rose,Leave Me Alone (feat. Manu Chao) [Remixes],2007,216170,781,-4.553,153,0,105.017,16
Ailein Duinn,Capercaillie,To The Moon,1992,216773,484,-14.555,368,331,103.857,34
"Coisich, a Ruin",Capercaillie,Delirium,1992,193066,699,-10.656,397,276,120.853,16
Nighean Dubh Nighean Donn,Capercaillie,At the Heart of It All,2000,273906,495,-7.817,688,241,95.379,10
S' Och A' Dhomhnaill Oig Ghaolaich,Capercaillie,At the Heart of It All,1992,244986,478,-8.496,659,143,170.031,28
Skye Waulking Song,Capercaillie,Nadurra,2000,280333,0.39,-10.297,776,281,172.076,17
The Jura Wedding Reels,Capercaillie,At the Heart of It All,2000,225760,617,-6.516,531,386,111.04,41
Cumbia sobre el río / Interludio,Celso Piña,Barrio Bravo,1996,342973,711,-6.397,237,797,96.999,59
Petit pays,Cesária Evora,Cesaria,1989,224506,551,-11.583,804,0,156.152,58
Sodade,Cesária Evora,Miss Perfumado,1992,293640,575,-13.168,822,661,82.691,58
À Primeira Vista,Chico César,Aos Vivos,1995,216800,542,-12.99,782,0,89.585,59
Mama África,Chico César,Aos Vivos,1995,214826,676,-8.715,648,0,163.709,49
Pensar Em Você,Chico César,Mama Mundi,1996,236373,717,-10.684,254,0,88.057,43
Shusha Nyavu,Christina Shusho,Shusha Nyavu,1997,226866,689,-4.904,188,279,90.064,44
Unikumbuke,Christina Shusho,Unikumbuke,1997,452756,752,-10.247,835,0,132.167,35
Look so Good,David Lindley,Win This Record,1985,92906,391,-23.44,875,0.15,88.264,32
Talk to the Lawyer,David Lindley,Win This Record,1985,300560,0.71,-13.363,178,437,126.108,17
Ballad Of The Sad Young Men,Davy Graham,"Folk, Blues & Beyond",1964,192600,525,-17.799,0.82,513,69.118,8
Cocaine,Davy Graham,"Folk, Blues & Beyond",1969,147466,576,-17.158,932,185,140.792,30
Cry Me a River,Davy Graham,The Guitar Player,1965,139546,0.6,-25.66,923,917,104.599,9
Fire In My Soul,Davy Graham,Midnight Man,1965,110560,549,-18.878,521,645,100.411,28
She Moved Through The Fair,Davy Graham,"Folk, Blues & Beyond",1964,194400,437,-20.494,914,886,90.088,18
Wilt Thou Unkind,Davy Graham,The Holly Kaleidoscope,1977,52333,641,-27.365,928,955,97.369,1
Black Sun - Remastered,Dead Can Dance,Aion (Remastered),1987,296506,477,-11.48,365,275,133.715,32
Cantara - Remastered,Dead Can Dance,Within the Realm of a Dying Sun (Remastered),1984,358293,301,-11.001,695,767,120.236,35
Enigma of the Absolute - Remastered,Dead Can Dance,Spleen and Ideal (Remastered),1990,254040,0.39,-9.174,2.14E-06,703,112.11,23
In the Kingdom of the Blind the One-Eyed Are Kings - Remastered,Dead Can Dance,The Serpent's Egg (Remastered),1991,252480,146,-13.277,237,297,79.9,28
Rakim - Live Remastered,Dead Can Dance,Toward the Within (Remastered),1991,385373,335,-8.29,282,539,157.008,33
Saltarello - Remastered,Dead Can Dance,Aion (Remastered),1991,154173,0.52,-11.985,152,431,109.011,37
Sanvean - Live Remastered,Dead Can Dance,Toward the Within (Remastered),1993,238693,106,-12.08,936,742,90.689,29
The Host of Seraphim - Remastered,Dead Can Dance,The Serpent's Egg (Remastered),1993,378173,853,-13.076,621,863,168.753,45
The Ubiquitous Mr. Lovegrove - Remastered,Dead Can Dance,Into the Labyrinth (Remastered),1993,377213,611,-11.018,211,396,161.862,36
Yulunga (Spirit Dance),Dead Can Dance,Into the Labyrinth (Remastered),1992,415613,331,-14.095,0.27,891,95.299,40
Mazha Paadum,Deepak Dev,Sunday Holiday (Original Motion Picture Soundtrack),2002,266102,659,-9.648,864,234,104.042,54
Nilakudame,Deepak Dev,Chirakodinja Kinavukal (Original Motion Picture Soundtrack),2002,275322,577,-6.859,791,82,123.888,19
Forever And Ever,Demis Roussos,Forever And Ever,1973,221266,361,-9.065,356,0,117.653,48
Goodbye My Love Goodbye,Demis Roussos,Forever And Ever,1973,234866,267,-10.41,736,0,91.715,40
I Dig You,Demis Roussos,Collected,1971,247733,552,-13.087,897,867,116.079,26
Lovely Lady Of Arcadia,Demis Roussos,Demis Roussos - Greatest Hits (1971 - 1980),1974,204226,469,-11.74,656,0,76.959,37
My Friend The Wind,Demis Roussos,Forever And Ever,1973,235626,452,-8.017,201,0,138.598,34
My Reason,Demis Roussos,Forever And Ever,1974,239333,311,-8.676,348,0,98.589,31
Red Rose Cafe,Demis Roussos,In Holland,1979,278082,0.28,-13.33,572,0,179.018,18
Someday Somewhere,Demis Roussos,Demis Roussos - Greatest Hits (1971 - 1980),1975,184760,445,-12.538,543,246,119.595,34
When Forever Has Gone,Demis Roussos,Universal Masters,1973,183400,395,-7.803,141,0,102.016,5
Langue muette,Dhafer Youssef,Electric Sufi,2010,213560,514,-23.29,991,876,113.555,36
Shaouk,Dhafer Youssef,Abu Nawas Rhapsody,2001,127666,593,-22.482,987,688,139.259,43
Yabay,Dhafer Youssef,Electric Sufi,2006,196773,382,-10.572,912,578,127.685,28
Echoes of the Past Float Away,Diane Arkenstone,Aquaria II - Ascension,1995,235760,381,-17.696,854,856,184.123,14
Precious Waters,Diane Arkenstone,The Essential Diane Arkenstone,1995,267453,405,-15.231,905,914,89.973,21
Voice of the Sea,Diane Arkenstone,The Essential Diane Arkenstone,2000,316666,498,-13.228,238,877,89.975,33
Balada o Pisonji I Zugi-live,Dr Nele Karajlic,Live In Skopje 2019,2001,413369,0.31,-8.092,692,317,198.349,0
Necu da budem svabo u dotiranom filmu-live,Dr Nele Karajlic,Live In Skopje 2019,2007,301682,0.39,-7.648,355,799,117.994,0
Odlazi Nam Deda,Dr Nele Karajlic,"Muzika Iz Filma ""Crna Macka Beli Macor""",2007,65433,501,-4.83,855,582,112.51,37
Canção Do Mar,Dulce Pontes,Best Of - Deluxe,1999,316906,498,-11.179,733,215,120.203,43
Fado-Mae,Dulce Pontes,O Primeiro Canto,1999,214560,412,-11.612,911,744,111.601,29
Lusitana Paixão,Dulce Pontes,Best Of - Deluxe,1999,224826,588,-8.3,0.52,236,133.842,27
Canto a la Habana,Eliades Ochoa,Canto a la Habana,2001,284005,718,-1.656,384,0,95.901,7
Lágrimas Negras,Eliades Ochoa,¡Se Soltó Un León!,2009,305906,575,-14.734,506,434,86.418,6
Mi cafetal,Eliades Ochoa,Estoy Como Nunca,2000,230693,481,-8.113,758,0.54,90.136,31
Pajarito Voló (feat. Rubén Blades),Eliades Ochoa,Guajiro,1996,231493,495,-12.56,725,152,101.807,30
Siboney,Eliades Ochoa,Estoy Como Nunca,1996,265733,0.56,-8.006,544,869,110.476,26
Vamos a Bailar un Son,Eliades Ochoa,Vamos a Bailar un Son (Special Edition),1996,312642,626,-7.54,504,549,95.446,26
West (feat. Charlie Musselwhite),Eliades Ochoa,Guajiro,1998,191040,761,-11.556,786,204,129.963,16
Amarantine,Enya,Amarantine,2005,190533,0.54,-12.031,908,414,79.71,58
Aníron,Enya,The Very Best of Enya (Deluxe Edition),2001,164613,177,-14.082,937,827,128.585,59
Boadicea,Enya,The Celts,1984,212360,163,-27.41,977,225,66.269,44
Echoes in Rain,Enya,Dark Sky Island,2015,215453,693,-9.428,826,803,93.875,57
May It Be,Enya,The Very Best of Enya (Deluxe Edition),2001,209693,151,-17.018,981,238,81.397,54
Orinoco Flow (Sail Away) - Single Version,Enya,Orinoco Flow (Sail Away),1988,225840,691,-10.378,678,335,114.991,48
Wild Child,Enya,A Day Without Rain,1988,227493,0.6,-10.477,726,0.59,79.705,61
Coffin for Head of State,Fela Kuti,Coffin for Head of State,1978,1362466,724,-8.494,485,153,88.756,32
Expensive Shit,Fela Kuti,Expensive Shit,1975,793200,0.67,-7.668,219,0.4,123.563,43
Gentleman,Fela Kuti,Gentleman,1978,881240,578,-6.999,166,209,85.922,42
Lady,Fela Kuti,Shakara,1978,828360,737,-7.863,207,114,106.78,38
No Agreement,Fela Kuti,No Agreement,1977,931600,0.77,-5.405,147,181,99.368,32
Roforofo Fight,Fela Kuti,Roforofo Fight,1977,941106,594,-5.805,396,557,123.866,27
Shakara (Oloje),Fela Kuti,Shakara,1978,805733,648,-6.627,272,47,119.992,35
Sorrow Tears and Blood,Fela Kuti,Sorrow Tears & Blood,1975,615906,822,-5.574,152,449,101.184,32
Water No Get Enemy,Fela Kuti,The Best of the Black President,1975,591693,639,-7.714,0.11,245,91.021,52
Zombie,Fela Kuti,Zombie,1976,745653,671,-5.141,386,14,131.442,47
A Man and a Woman,Herbie Mann,It's a Funky Thing: The Very Best of Herbie Mann,1964,145479,272,-16.714,827,211,147.514,11
Batida diferente,Herbie Mann,Latin Fever,1965,314546,723,-16.29,824,912,91.704,30
Comin' Home Baby,Herbie Mann,Atlantic Jazz: Soul,1962,519600,651,-22.617,752,421,78.792,42
Funky Nassau,Herbie Mann,Push Push (feat. Duane Allman),1971,294066,0.54,-19.531,864,343,78.468,12
"Hold On, I'm Coming",Herbie Mann,Memphis Underground,1969,535333,497,-14.064,365,866,133.569,20
Memphis Underground,Herbie Mann,Memphis Underground,1969,429000,779,-17.37,626,853,113.08,36
Aquellos Ojos Verdes,Ibrahim Ferrer,Ibrahim Ferrer (Buena Vista Social Club Presents),2003,294293,355,-12.952,846,3,82.183,48
"Ay, Candela",Ibrahim Ferrer,"Ay, Candela",2002,203013,679,-12.26,672,168,107.309,36
Bruca Maniguá,Ibrahim Ferrer,Ibrahim Ferrer (Buena Vista Social Club Presents),2003,284320,499,-11.624,836,557,110.274,53
Marieta,Ibrahim Ferrer,Ibrahim Ferrer (Buena Vista Social Club Presents),2001,355040,592,-7.091,831,0,79.073,47
Qué Bueno Baila Usted,Ibrahim Ferrer,Ibrahim Ferrer (Buena Vista Social Club Presents),1999,279333,595,-4.733,584,0,87.363,45
BO'EE - Asher Swissa & Anorre Remix,Idan Raichel,BO'EE (Asher Swissa & Anorre Remix),2008,186393,642,-7.118,379,115,121.994,29
Boee (Come To Me),Idan Raichel,The Idan Raichel Project,2002,266600,762,-5.157,334,644,115.977,29
Mi'Ma'amakim (Out of the Depths),Idan Raichel,Mi'Ma'amakim (Out of the Depths),2005,350400,415,-7.441,642,0,179.692,15
Ve'Eem Tavo'ee Elay (And If You Will Come To Me),Idan Raichel,And If You Will Come To Me,2007,212800,727,-5.273,504,0,112.023,41
Mandram Vandha,Ilaiyaraaja,Mouna Ragam (Original Motion Picture Soundtrack),1985,287279,649,-11.807,769,475,115.769,46
Nila Adhu Vanathumele,Ilaiyaraaja,Nayagan (Original Motion Picture Soundtrack),1986,301267,743,-6.956,746,706,175.558,57
Nilaave Vaa,Ilaiyaraaja,Mouna Ragam (Original Motion Picture Soundtrack),1991,277146,666,-10.131,0.83,232,111.993,47
Thendral Vandhu,Ilaiyaraaja,Thendrale Ennai Thodu (Original Motion Picture Soundtrack),1990,256066,767,-13.322,728,906,112.512,49
Thenpandi Cheemayile,Ilaiyaraaja,Nayagan (Original Motion Picture Soundtrack),1983,272639,462,-11.436,873,0,120.971,55
El aparecido,Inti-Illimani,Performs Victor Jara,1971,215999,367,-10.456,457,217,145.466,10
El Canto de Todos - Bonus Track,Inti-Illimani,El Canto de Todos,1976,41880,889,-8.206,557,0,125.055,45
La fiesta de la tirana,Inti-Illimani,The Best Of,1999,191999,571,-12.198,898,512,104.139,7
Vuelvo,Inti-Illimani,"Lo Mejor de la Musica Andina, Vol. 11",1995,197093,683,-22.698,892,681,128.719,29
Jammu Africa,Ismaël Lô,Jammu Africa,2004,301866,538,-9.414,699,356,79.692,42
Nafanta,Ismaël Lô,Iso,2005,255133,724,-13.022,406,143,93.97,27
Tadieu Bone,Ismaël Lô,Natt,2000,263440,312,-15.33,731,692,163.319,39
Tajabone,Ismaël Lô,Jammu Africa,1999,241266,0.29,-9.935,843,129,158.199,40
Bomba,Jah Wobble's Invaders Of The Heart,Rising Above Bedlam,1987,355626,0.69,-14.919,313,408,99.702,12
Visions of You,Jah Wobble's Invaders Of The Heart,Rising Above Bedlam,2000,336093,545,-12.272,735,869,90.508,28
A Remark You Made - Live,Joe Zawinul,Brown Street (Live),2003,486640,268,-8.326,886,925,105.234,5
Birdland,Joe Zawinul,Quartetto Torres : Guitars,1982,259306,645,-22.611,873,0.86,83.478,9
Black Market - Live,Joe Zawinul,Brown Street (Live),1980,451133,401,-5.01,644,606,104.059,8
In a Silent Way,Joe Zawinul,Zawinul,1969,285920,167,-14.887,401,726,70.11,19
"Mercy, Mercy, Mercy",Joe Zawinul,Helmut Jasbar: Live at the Havana Guitar Festival,1966,221746,0.52,-17.854,956,876,107.532,9
The Harvest,Joe Zawinul,Dialects,2002,362800,659,-12.746,134,147,129.387,12
A Woman Clothed With the Sun,John Zorn,A Vision in Blakelight,2004,320160,475,-19.774,776,828,137.013,1
Hellfire,John Zorn,Moonchild,2004,245133,0.3,-5.534,246,872,109.509,5
In Sorrow’s Eye,John Zorn,Her Melodious Lay,2003,245889,586,-16.003,0.94,904,115.315,25
Innocent Sleep,John Zorn,Her Melodious Lay,2003,388155,401,-15.79,959,808,92.186,22
Lilin,John Zorn,Electric Masada - At the Mountain of Madness,2004,974093,322,-4.183,998,465,120.03,12
Switch,John Zorn,Locus Solus,1999,135106,645,-12.922,796,356,128.307,0
The Big Gundown,John Zorn,The Big Gundown - 15th Anniversary Special Edition,1985,446533,419,-11.897,176,446,116.428,8
"Caracas Night September 11, 1975",Jon Hassell,Vernal Equinox (Remastered),2000,127040,324,-21.723,888,283,95.848,29
Last Night The Moon Came,Jon Hassell,Last Night The Moon Came Dropping Its Clothes In The Street,2002,675853,157,-25.886,0.95,931,79.99,28
Power Spot,Jon Hassell,Power Spot,1986,427533,697,-20.602,0.14,767,151.323,13
Voiceprint (Blind From The Facts),Jon Hassell,City: Works Of Fiction,1989,348333,487,-10.924,151,748,111.629,4
Assurance,Jon Stefans,Assurance,2005,176258,154,-36.178,909,964,134.931,58
Animal Arithmetic,Jónsi,Go,2009,203760,392,-6.314,262,326,157.808,20
Boy Lilikoi,Jónsi,Go,2009,269760,443,-6.049,164,15,144.903,24
Go Do,Jónsi,Go,2009,280640,464,-6.558,247,135,139.995,32
Hengilás,Jónsi,Go,2009,255346,0.18,-14.803,801,154,88.77,21
Kolniður,Jónsi,Go,2009,235960,343,-8.073,416,248,107.977,19
Sticks and Stones - Live in Brighton,Jónsi,Go Live,2009,259666,171,-6.145,123,255,167.347,6
Tornado,Jónsi,Go,2008,254973,138,-11.205,0.44,648,90.015,25
For All We Know,Karl-Martin Almqvist,A Ballad Moment: Second View,1992,170202,456,-14.506,891,189,99.856,40
